id,artiestennaam,instrument,genre,prijs_per_avond
1,Tommy Jazz,Basgitaar,Jazz,150
2,Lisa Groove,Gitaar,Funk,200
3,Danny Beat,Drums,Rock,180
4,Clara Keys,Piano,Classical,220
5,Max Sax,Saxofoon,Jazz,170
6,Sara Strings,Cello,Classical,250
7,Leo Pulse,Drums,Pop,190
8,Anna Vox,Zang,Pop,230
9,Oscar Melody,Keyboard,R&B,160
10,Luke Fret,Basgitaar,Rock,210
11,Emily Harmony,Gitaar,Folk,200
12,Felix Brass,Trompet,Jazz,155
13,Nina Rhythm,Drums,Funk,175
14,Vera Blue,Zang,Blues,225
15,Harry Tune,Gitaar,Reggae,190
16,Kate Keys,Piano,Pop,210
17,Sam Note,Violin,Classical,260
18,David Sax,Saxofoon,Funk,180
19,Olivia Sing,Zang,Jazz,240
20,Jack Groove,Basgitaar,Blues,200
21,Sophie Soul,Keyboard,Soul,185
22,Tom Rock,Drums,Rock,210
23,Alice Chord,Gitaar,Indie,200
24,Martin Brass,Trombone,Jazz,160
25,Lauren Fiddle,Violin,Folk,220
26,Ben Keys,Piano,Jazz,190
27,Jessica Beat,Drums,Electronic,170
28,Nick Vibe,Gitaar,Rock,220
29,Ella Tune,Zang,Soul,230
30,Charlie Beat,Drums,Hip-Hop,200
